feature,importance
 Packet Length Std,0.09295455478123033
 Subflow Fwd Bytes,0.08497348527131335
 Fwd Packet Length Max,0.07282095055859435
 Avg Fwd Segment Size,0.07273425066703489
 ACK Flag Count,0.06820326812663548
 Packet Length Variance,0.0660509293650747
 PSH Flag Count,0.04879867903576664
Bwd Packet Length Max,0.03854529198129407
 act_data_pkt_fwd,0.03749205666758244
Total Length of Fwd Packets,0.03315073103932378
 Fwd Packet Length Std,0.030366837337826948
Fwd Packets/s,0.030311991919535652
 Subflow Bwd Bytes,0.028882177964369288
 Destination Port,0.02649535087390308
Init_Win_bytes_forward,0.023615872576795077
Subflow Fwd Packets,0.021683767848534954
 Fwd IAT Min,0.020949722240452683
 Packet Length Mean,0.02070029420864891
 Total Length of Bwd Packets,0.019585526874390167
 Bwd Packet Length Mean,0.01865315874691577
 Bwd Packet Length Min,0.015024852204720699
 Flow Duration,0.012409004356364002
 Flow Packets/s,0.011555968069297932
 Fwd Header Length,0.010884047232149467
 Fwd IAT Max,0.010249167051129203
 Fwd Header Length.1,0.009865194162187329
 Fwd IAT Std,0.008652874367034019
Fwd IAT Total,0.007946007511284586
 Flow IAT Std,0.007444062958683537
 Max Packet Length,0.005931565198106244
 min_seg_size_forward,0.0055328088170914485
 Flow IAT Max,0.005421866691300075
 Total Backward Packets,0.00499954192802416
Flow Bytes/s,0.0026850767633489437
FIN Flag Count,0.002523365273337778
 Fwd Packet Length Min,0.0020219149049479426
 Subflow Bwd Packets,0.001861906995384709
 Total Fwd Packets,0.0016793626037763323
Fwd PSH Flags,0.001650677910765053
 Down/Up Ratio,0.0013772752191505088
 Fwd Packet Length Mean,0.0013543179568466426
 Flow IAT Min,0.0012576999797512202
 Avg Bwd Segment Size,0.001234095864483825
 Bwd Packets/s,0.0012118573721319331
 Average Packet Size,0.0011795392720002952
 Bwd IAT Min,0.001044357013493517
 SYN Flag Count,0.0010405423434159777
 Bwd Header Length,0.0009172245015376919
 Flow IAT Mean,0.0008799797570914113
 Init_Win_bytes_backward,0.0006902903666665546
Bwd IAT Total,0.0005178153381521736
 Bwd IAT Max,0.00045539807525716934
 URG Flag Count,0.0003154539883252495
 Fwd IAT Mean,0.00029725425795059415
 Bwd IAT Std,0.0002885079471494498
 Bwd Packet Length Std,0.00022192332012714003
 Bwd IAT Mean,0.00019558435206781265
 Min Packet Length,6.937264431815312e-05
 Idle Min,4.693240877993067e-05
Active Mean,2.7872882466165653e-05
 Active Max,1.9967239615263636e-05
Idle Mean,1.8733376579515995e-05
 Active Min,1.690623073435201e-05
 Idle Max,8.42325829135228e-06
 Idle Std,4.424023275106582e-06
 Active Std,8.792618503047947e-08
 RST Flag Count,0.0
 Bwd URG Flags,0.0
 Bwd PSH Flags,0.0
 Fwd URG Flags,0.0
Bwd Avg Bulk Rate,0.0
 Bwd Avg Packets/Bulk,0.0
 Bwd Avg Bytes/Bulk,0.0
 Fwd Avg Bulk Rate,0.0
 Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
 CWE Flag Count,0.0
 ECE Flag Count,0.0
